Country,Year,Raw Event,Desc
India,2017,Space Record,"Launching a record number of satellites in a single mission, demonstrating advanced space capabilities and contributing to global satellite infrastructure."
India,2017,Supreme Court Decriminalizes Certain Practices,"A landmark ruling decriminalizing a specific personal choice, marking a significant step towards equality and human rights, sparking nationwide discussions."
India,2017,Demonetization Aftermath,"Continued economic and social impacts from the 2016 demonetization policy, including cash shortages and adjustments in the digital economy."
India,2017,Goods and Services Tax (GST) Implementation,"Nationwide implementation of GST, aiming to unify the sprawling tax system into a single national framework, affecting businesses and consumers across the country."
India,2017,Border Standoff,"A prolonged military standoff with a neighboring country at a disputed border area, highlighting regional tensions and strategic challenges."
India,2017,Cyclone Impact,"A severe cyclone hit coastal regions, causing extensive damage and prompting national disaster response and recovery efforts."
India,2017,Economic Slowdown,"Challenges in the economy, marked by slower growth rates, affecting employment, investment, and policy responses."
India,2018,Statue Unveiling,"The unveiling of the world's tallest statue, symbolizing national pride and historical significance, sparking discussions on public expenditure and cultural representation."
India,2018,Floods Catastrophe,"Severe flooding in a southern state resulted in extensive damage and loss of life, prompting national and international relief efforts, and highlighting the impact of climate change."
India,2018,Banking Fraud Case,"A high-profile banking fraud case involving a billionaire businessman came to light, leading to discussions on banking security, regulatory oversight, and international legal cooperation."
India,2018,National Health Insurance Scheme Launch,Introduction of a nationwide health insurance scheme aimed at providing healthcare access to millions of economically vulnerable citizens.
India,2018,Banking Fraud Case,"A high-profile banking fraud case involving a billionaire jeweler, leading to international legal pursuits and debates on banking security and oversight."
India,2018,Section 377 Verdict,"The Supreme Court's decriminalization of consensual homosexual activities, marking a historic victory for LGBTQ+ rights in the country."
India,2018,Environmental Initiatives,"Significant government initiatives targeting plastic pollution and environmental conservation, aiming to address pollution and promote sustainability."
India,2018,Major Train Accident,"A tragic train accident resulting in numerous casualties, prompting discussions on rail safety, infrastructure, and emergency response measures."
India,2018,State Elections,"Several key state elections took place, reflecting political shifts and serving as a bellwether for national electoral trends."
India,2018,Cyclone and Flood Response,"A series of natural disasters, including cyclones and severe flooding in several states, challenging disaster management and relief efforts."
India,2019,National Elections,"A significant general election reaffirmed the mandate of the ruling party, influencing the political landscape, policy directions, and governance approaches."
India,2019,Article Revocation,"The government's decision to revoke special status accorded to a northern region, leading to widespread discussions on federalism, national integration, and regional autonomy."
India,2019,Major Corporate Tax Cut,A significant reduction in corporate tax rates aimed at boosting investment and economic growth amidst a slowdown.
India,2019,Space Exploration Attempt,"An ambitious mission to explore the lunar south pole, highlighting advancements in space technology and exploration efforts."
India,2019,Pollution Crisis,"Severe air quality issues in major cities, leading to public health emergencies, policy discussions, and initiatives on pollution control."
India,2019,Economic Slowdown Acknowledgment,"Official acknowledgment of economic challenges, with measures introduced to stimulate growth and address unemployment."
India,2019,Citizenship Amendment Act Protests,"Nationwide protests against a new citizenship law, raising issues of secularism, national identity, and human rights."
India,2020,COVID-19 Pandemic Response,"Nationwide lockdowns and public health measures in response to the global pandemic, affecting millions of lives, the economy, and healthcare systems."
India,2020,Migrant Worker Crisis,"The lockdown's impact on migrant workers, leading to a mass exodus and humanitarian concerns over their welfare and rights."
India,2020,Border Clash,"A military clash with a neighboring country's forces at a disputed border, escalating regional tensions and leading to diplomatic and military responses."
India,2020,Digital Strike,"Ban on several applications owned by companies from a neighboring country, citing national security and data privacy concerns."
India,2020,Farm Bills Protests,"Introduction of agricultural reform bills leading to widespread protests by farmers, sparking a significant political and social movement."
India,2020,Cyclone Amphan,"A devastating cyclone hit eastern regions, causing widespread destruction and prompting large-scale relief efforts."
India,2020,Economic Stimulus Packages,Government announcements of several economic stimulus packages aimed at counteracting the pandemic's impact on various sectors.
India,2020,Education Policy Reform,"Introduction of a new national education policy aiming to overhaul the education system, emphasizing flexibility, critical thinking, and access."
India,2021,COVID-19 Second Wave,"A devastating second wave of COVID-19, overwhelming healthcare facilities, and leading to significant loss of life."
India,2021,Vaccination Drive,"Launch of one of the world's largest vaccination drives, aiming to immunize a vast population against COVID-19."
India,2021,Olympic Success,"Achieving notable success in the Olympic Games, marking a historic performance in terms of medals and national pride."
India,2021,Farm Laws Repeal,"The government's decision to repeal controversial farm laws after a year of protests, marking a significant political turnaround."
India,2021,Cryptocurrency Regulations Discussion,"The government's moves to potentially regulate cryptocurrencies, sparking widespread interest and debate on the future of digital currencies in India."
India,2021,Major Cyclone,"Another powerful cyclone affecting the western coast, challenging disaster preparedness and climate resilience efforts."
India,2021,Space Sector Reforms,"Announcements of reforms to allow greater private participation in the space sector, aiming to boost innovation and investment."
India,2021,Judicial Verdicts on Personal Liberty,Several Supreme Court verdicts emphasizing the importance of personal liberty and the need for legal safeguards against arbitrary detention.
India,2022,Third COVID-19 Wave,"A milder third wave of COVID-19, driven by the Omicron variant, with efforts focused on vaccination and managing healthcare resources."
India,2022,Economic Recovery Initiatives,"Initiatives aimed at economic recovery post-pandemic, including investment in infrastructure, digital economy, and job creation."
India,2022,Climate Action Plans,"Enhanced commitments and plans for climate action, including renewable energy expansion and international climate agreements."
India,2022,Digital Payment Growth,"Significant growth in digital payments, reflecting changes in consumer behavior and the digitalization of the economy."
India,2022,Regional Elections,Key regional elections reflecting political trends and influencing national political dynamics.
India,2022,Judicial Reforms,Efforts and discussions on judicial reforms to address backlog and improve the efficiency of the legal system.
India,2022,Defense Modernization,Announcements and steps towards defense modernization and increased self-reliance in defense production.
India,2022,Social Justice Movements,"Various social justice movements gaining prominence, advocating for equality, environmental justice, and social reforms."
India,2023,G20 Presidency,"India assuming the presidency of the G20, focusing on global economic issues, sustainable development, and international cooperation."
India,2023,Space Mission Advancements,"Progress in space exploration missions, including planned lunar and interplanetary missions, showcasing technological advancements."
India,2023,Economic Reforms,"Introduction of further economic reforms aimed at boosting growth, attracting investment, and enhancing competitiveness."
India,2023,Digital Infrastructure Expansion,"Expansion of digital infrastructure to promote access to digital services, education, and economic opportunities."
India,2023,Environmental Policy Initiatives,"Implementation of significant environmental policy initiatives aimed at conservation, pollution reduction, and climate resilience."
India,2023,Technological Innovation,"Significant advancements and initiatives in technological innovation, including artificial intelligence, digital health, and renewable energy."
India,2023,Urban Development Projects,"Launch of major urban development projects aimed at improving urban infrastructure, housing, and quality of life."
India,2023,International Diplomatic Engagements,"Active diplomatic engagements to strengthen international relations, trade ties, and address regional security concerns."
